"TASMSOL"
.ALTWILD

TEST CL,@	FD94	3	NOP	1
NEG A	FD95	2	NOP	1
NEG AL	FD96	2	NOP	1
NEG B	FD97	2	NOP	1
NEG BL	FD98	2	NOP	1
SHL A	FD99	2	NOP	1
SHL AL	FD9A	2	NOP	1
SHR A	FD9B	2	NOP	1
SHR AL	FD9C	2	NOP	1
SHL A,@	FD9D	3	NOP	1
SHL AL,@	FD9E	3	NOP	1
SHL B,@	FD9F	3	NOP	1
SHL BL,@	FDA0	3	NOP	1
SHR A,@	FDA1	3	NOP	1
SHR AL,@	FDA2	3	NOP	1
SHR B,@	FDA3	3	NOP	1
SHR BL,@	FDA4	3	NOP	1
ASHR A,@	FDA5	3	NOP	1
ASHR AL,@	FDA6	3	NOP	1
LOOPB @	FDA9	4	NOP	1
SWP A	FDAA	2	NOP	1
SWP B	FDAB	2	NOP	1
MUL A,C	FDAC	2	NOP 	1
CMP B,C	FDC0	2	NOP 	1
PUSH WORD@	FDD7	4	NOP	1
PUSH G	FDD8	2	NOP 	1
PUSH BYTE@	FDDB	3	NOP	1
ROL A,CL	FDDE	2	NOP	1
ROL AL,CL	FDDF	2	NOP	1
RLC A,CL	FDE0	2	NOP	1
RLC AL,CL	FDE1	2	NOP	1
ROR A,CL	FDE2	2	NOP	1
ROR AL,CL	FDE3	2	NOP	1
RRC A,CL	FDE4	2	NOP	1
RRC AL,CL	FDE5	2	NOP	1
ROL B,CL	FDE6	2	NOP	1
ROL BL,CL	FDE7	2	NOP	1
RLC B,CL	FDE8	2	NOP	1
RLC BL,CL	FDE9	2	NOP	1
ROR B,CL	FDEA	2	NOP	1
ROR BL,CL	FDEB	2	NOP	1
RRC B,CL	FDEC	2	NOP	1
RRC BL,CL	FDED	2	NOP	1
POP G	FDF1	2	NOP 	1
REPZ CMPSB ""	FDF3	2	NOP 	1
REPE CMPSB ""	FDF3	2	NOP 	1
REP MOVSB	FDF5	2	NOP	1
REPNZ CMPSB ""	FDF6	2	NOP 	1
REPNE CMPSB ""	FDF6	2	NOP 	1
REP STOSB	FDF7	2	NOP	1
LEA D,[@+A*2^+@+B]	FDF9	5	COMBINE	1
LEA D,[BP+A*2^+@+B]	FDF9	5	COMBINE	1
LEA D,[SP+@]	FDFA	4	NOP	1
